Date,Transaction Amount
01-12-2023,3.98
02-12-2023,9.43
04-12-2023,14.94
04-12-2023,3.99
05-12-2023,13.55
07-12-2023,11.29
10-12-2023,41.57
11-12-2023,1.99
12-12-2023,17.30
13-12-2023,21.13
14-12-2023,17.90
15-12-2023,35.95
20-12-2023,13.24
22-12-2023,14.64
23-12-2023,16.83
31-12-2023,2.39
