Date,Transaction Amount
01-02-2025,60.51
02-02-2025,19.00
02-02-2025,10.05
05-02-2025,5.69
07-02-2025,3.35
08-02-2025,35.86
11-02-2025,31.99
11-02-2025,8.58
12-02-2025,21.10
14-02-2025,12.77
15-02-2025,8.78
16-02-2025,30.52
19-02-2025,63.98
22-02-2025,43.47
